# Casa, oficios, ropa, herramientas y transporte
VESTIBULO|Entrada de la vivienda
ALBORNOZ|Bata de tela de toalla
ESCOBA|Sirve para barrer
RECOGEDOR|Recoge la basura barrida
FREGONA|Utensilio de fregar el suelo
CUBO|Recipiente del agua de fregar
BAYETA|Paño para limpiar
PLUMERO|Quita el polvo
ASPIRADORA|Máquina que aspira el polvo
DETERGENTE|Producto que limpia la ropa
LEJIA|Desinfectante blanqueador
SUAVIZANTE|Producto que ablanda la ropa
JABON|Producto de higiene
ESTROPAJO|Utensilio que friega los cacharros
PLANCHA|Aparato que quita las arrugas
COSTURERO|Caja de los hilos y agujas
DEDAL|Protege el dedo al coser
ALFILER|Sujeta la tela provisionalmente
AGUJA|Lleva el hilo al coser
HILO|Hebra de coser
BOTON|Pieza que abrocha
CREMALLERA|Cierre de dientes
VELCRO|Cierre de tiras adherentes
CORCHETE|Cierre metálico de dos piezas
OJAL|Abertura por donde entra el botón
DOBLADILLO|Pliegue cosido del borde
FORRO|Tela interior de una prenda
CAMISA|Prenda de cuello y botones
CAMISETA|Prenda ligera de manga corta
BLUSA|Camisa de señora
JERSEY|Prenda de punto de abrigo
CHALECO|Prenda sin mangas
CHAQUETA|Prenda abierta de vestir
AMERICANA|Chaqueta de traje
ABRIGO|Prenda larga contra el frío
GABARDINA|Abrigo impermeable
ANORAK|Chaqueta acolchada con capucha
PANTALON|Prenda de dos perneras
VAQUERO|Pantalón de tela recia azul
FALDA|Prenda que cae desde la cintura
VESTIDO|Prenda femenina de una pieza
TRAJE|Conjunto de chaqueta y pantalón
ESMOQUIN|Traje de etiqueta masculino
CHAQUE|Traje de ceremonia de día
PIJAMA|Ropa de dormir
BATA|Prenda holgada de casa
DELANTAL|Protege la ropa al cocinar
MONO|Prenda de trabajo de una pieza
UNIFORME|Ropa reglamentaria
CALCETIN|Prenda del pie
MEDIA|Prenda fina de la pierna
CALZONCILLO|Ropa interior masculina
BRAGA|Ropa interior femenina
SUJETADOR|Prenda interior que sostiene el pecho
CAMISON|Prenda femenina de dormir
BUFANDA|Prenda larga del cuello
GUANTE|Prenda de las manos
MANOPLA|Guante sin dedos separados
GORRO|Prenda de la cabeza
SOMBRERO|Prenda de copa y ala
GORRA|Prenda con visera
BOINA|Prenda plana sin visera
PANUELO|Tela cuadrada de uso varios
CORBATA|Adorno del cuello de la camisa
PAJARITA|Lazo del cuello de etiqueta
CINTURON|Ciñe el pantalón
TIRANTE|Sujeta el pantalón por el hombro
ZAPATO|Calzado de suela
BOTA|Calzado de caña alta
SANDALIA|Calzado abierto
ZAPATILLA|Calzado cómodo
CHANCLA|Calzado de playa
ALPARGATA|Calzado de esparto
CORDON|Ata el zapato
SUELA|Parte inferior del zapato
TACON|Alza del talón del zapato
PLANTILLA|Pieza interior del calzado
BOLSO|Complemento para llevar cosas
CARTERA|Guarda el dinero y los documentos
MONEDERO|Guarda las monedas
MOCHILA|Bolsa que se lleva a la espalda
MALETA|Equipaje del viajero
PARAGUAS|Protege de la lluvia
SOMBRILLA|Protege del sol
BASTON|Ayuda a caminar
GAFAS|Lentes para ver mejor
RELOJ|Se lleva en la muñeca
ANILLO|Joya del dedo
PENDIENTE|Joya de la oreja
COLLAR|Joya del cuello
PULSERA|Joya de la muñeca
BROCHE|Joya que se prende en la ropa
MARTILLO|Herramienta de golpear
DESTORNILLADOR|Herramienta de atornillar
ALICATES|Herramienta de apretar y cortar
TENAZA|Herramienta de agarrar
LLAVE|Herramienta que aprieta tuercas
SIERRA|Herramienta de cortar madera
SERRUCHO|Sierra de mano de hoja ancha
CEPILLO|Herramienta que alisa la madera
FORMON|Herramienta de cortar madera a golpe
LIMA|Herramienta que desgasta el metal
LIJA|Papel que pule la superficie
TALADRO|Herramienta que hace agujeros
BROCA|Punta que perfora
CLAVO|Pieza puntiaguda que se clava
TORNILLO|Pieza de rosca
TUERCA|Pieza que se enrosca en el tornillo
ARANDELA|Anilla plana del tornillo
ESCUADRA|Herramienta que marca el ángulo recto
NIVEL|Instrumento que comprueba la horizontal
PLOMADA|Pesa que marca la vertical
METRO|Cinta que mide
CINCEL|Herramienta que talla la piedra
MAZO|Martillo grande de madera
PICO|Herramienta de cavar terreno duro
PALA|Herramienta de mover tierra
AZADA|Herramienta de cavar la huerta
RASTRILLO|Apero de recoger hojas
HORCA|Apero de varias púas
GUADANA|Herramienta de segar
HOZ|Herramienta curva de segar
PODADERA|Herramienta de cortar ramas
TIJERA|Corta con dos hojas
CARRETILLA|Carro de una rueda
ANDAMIO|Estructura de trabajo en altura
ESCALERADEMANO|Utensilio portátil para subir
CUERDA|Soga para atar
ALAMBRE|Hilo de metal
CADENA|Serie de eslabones
GANCHO|Pieza curva de colgar
POLEA|Rueda que facilita subir pesos
ALBANIL|Levanta paredes
CARPINTERO|Trabaja la madera
FONTANERO|Arregla las tuberías
ELECTRICISTA|Instala los cables
PINTOR|Da color a las paredes
CERRAJERO|Trabaja con llaves y cerraduras
CRISTALERO|Coloca los vidrios
HERRERO|Trabaja el hierro en la fragua
SOLDADOR|Une los metales al fuego
MECANICO|Repara los motores
ELECTRICISTA|Profesional de la instalación eléctrica
PANADERO|Elabora el pan
PASTELERO|Hace tartas y dulces
CARNICERO|Despacha la carne
PESCADERO|Vende el pescado
FRUTERO|Vende frutas y verduras
CHARCUTERO|Vende embutidos
TENDERO|Atiende en la tienda
DEPENDIENTE|Atiende al cliente
CAJERO|Cobra en la caja
SASTRE|Confecciona trajes a medida
MODISTA|Cose ropa de señora
ZAPATERO|Arregla el calzado
PELUQUERO|Corta y peina el cabello
BARBERO|Afeita y arregla la barba
JOYERO|Trabaja o vende alhajas
RELOJERO|Repara relojes
OPTICO|Gradúa la vista
FARMACEUTICO|Despacha medicamentos
VETERINARIO|Cura a los animales
ENFERMERO|Asiste al paciente
MAESTRO|Enseña en la escuela
PROFESOR|Imparte clases
BIBLIOTECARIO|Cuida de los libros
ARCHIVERO|Custodia los documentos
PERIODISTA|Informa de la actualidad
FOTOGRAFO|Hace fotografías
TRADUCTOR|Vierte textos a otra lengua
INTERPRETE|Traduce de viva voz
ABOGADO|Defiende en el juicio
NOTARIO|Da fe de los documentos
PROCURADOR|Representa ante el tribunal
JUEZ|Dicta la sentencia
FISCAL|Ejerce la acusación
POLICIA|Vela por el orden
BOMBERO|Apaga los incendios
MILITAR|Sirve en el ejército
MARINERO|Trabaja en el barco
PILOTO|Conduce la aeronave
AZAFATA|Atiende a los pasajeros
MAQUINISTA|Conduce el tren
REVISOR|Comprueba los billetes
CONDUCTOR|Lleva el volante
TAXISTA|Conduce un coche de alquiler
CARTERO|Reparte la correspondencia
BASURERO|Recoge los residuos
BARRENDERO|Limpia las calles
JARDINERO|Cuida las plantas
AGRICULTOR|Cultiva la tierra
GANADERO|Cría reses
PASTOR|Guarda el rebaño
PESCADOR|Faena en el mar
MINERO|Trabaja bajo tierra
LENADOR|Corta árboles
ARQUITECTO|Proyecta edificios
INGENIERO|Diseña obras y máquinas
APAREJADOR|Dirige la ejecución de la obra
DELINEANTE|Dibuja los planos
CONTABLE|Lleva las cuentas
ADMINISTRATIVO|Trabaja en la oficina
SECRETARIA|Organiza la agenda del jefe
RECEPCIONISTA|Atiende en la entrada
CONSERJE|Cuida del edificio
VIGILANTE|Custodia un recinto
CAMIONERO|Conduce vehículos pesados
MENSAJERO|Reparte paquetes
REPARTIDOR|Lleva la mercancía a domicilio
COCHE|Automóvil de cuatro ruedas
FURGONETA|Vehículo pequeño de carga
CAMION|Vehículo grande de transporte
AUTOBUS|Vehículo de muchos pasajeros
AUTOCAR|Autobús de viajes largos
TRANVIA|Vehículo urbano sobre raíles
METRO|Ferrocarril subterráneo
TREN|Convoy sobre vías
LOCOMOTORA|Arrastra los vagones
VAGON|Coche del tren
AVION|Aeronave de alas fijas
HELICOPTERO|Aeronave de rotor
PLANEADOR|Aeronave sin motor
GLOBO|Aeronave que se eleva con aire caliente
BARCO|Nave que navega
VELERO|Barco impulsado por el viento
FERRY|Barco que transporta vehículos
CRUCERO|Barco de viajes de placer
YATE|Embarcación de recreo
LANCHA|Embarcación pequeña a motor
CANOA|Embarcación estrecha de remo
BALSA|Embarcación de troncos
SUBMARINO|Nave que navega sumergida
BICICLETA|Vehículo de pedales
MOTO|Vehículo de dos ruedas a motor
CICLOMOTOR|Moto de poca cilindrada
PATINETE|Vehículo ligero de dos ruedas
TRINEO|Vehículo que se desliza por la nieve
CARRO|Vehículo de tracción animal
CARROZA|Coche de caballos de lujo
AMBULANCIA|Vehículo sanitario
GRUA|Vehículo que remolca coches
TRACTOR|Vehículo agrícola
EXCAVADORA|Máquina que abre zanjas
APISONADORA|Máquina que compacta el firme
HORMIGONERA|Máquina que mezcla el hormigón
